,Author,Date,Message
12731,William Shakespeare,"Sep 23, 2016, 3:51 AM","Imputed, becomes theirs by faith; his merits "
12732,William Shakespeare,"Sep 23, 2016, 3:51 AM",Into the sea:  To sojourn in that land 
12733,William Shakespeare,"Sep 23, 2016, 3:51 AM","Fermented the great mother to conceive, "
12734,William Shakespeare,"Sep 23, 2016, 3:51 AM",Protesting Fate supreme; thence how I found 
12735,Other,"Sep 23, 2016, 3:50 AM","Poured first on his Apostles, whom he sends "
12736,Other,"Sep 23, 2016, 3:50 AM",But suddenly with flesh filled up and healed: 
12737,Other,"Sep 23, 2016, 3:50 AM",At Heaven's high feasts to have fed: yet what compare 
12738,Other,"Sep 23, 2016, 3:50 AM","Invisible, yet staid, (such privilege "
12739,Other,"Sep 23, 2016, 3:49 AM","Expressing well the spirit within thee free, "
12740,Other,"Sep 23, 2016, 3:49 AM","Sluiced from the lake, a second multitude "
12741,Other,"Sep 23, 2016, 3:49 AM","Sails between worlds and worlds, with steady wing "
12742,Other,"Sep 23, 2016, 3:48 AM","The day from night; and let them be for signs, "
12743,Other,"Sep 23, 2016, 3:48 AM","On golden hinges moving, to let forth "
12744,Other,"Sep 23, 2016, 3:48 AM","Is as the book of God before thee set, "
12745,Other,"Sep 23, 2016, 3:48 AM",To their own vile advantages shall turn 
12746,Other,"Sep 23, 2016, 3:47 AM",Oft he to her his charge of quick return 
12747,Other,"Sep 23, 2016, 3:46 AM",Medusa with Gorgonian terror guards 
12748,Other,"Sep 23, 2016, 3:44 AM","Wherein all things created first he weighed, "
12749,Other,"Sep 23, 2016, 3:43 AM","This be thy just circumference, O World! "
12750,Other,"Sep 23, 2016, 3:43 AM","Of iron globes; which, on the victor host "
12751,Other,"Sep 23, 2016, 3:43 AM","Hath honoured me, according to his will. "
12752,Mickey Mouse,"Sep 23, 2016, 3:42 AM","To mortal men, he, with his horrid crew, "
12753,Other,"Sep 23, 2016, 3:42 AM",Unpraised: for nothing lovelier can be found 
12754,Other,"Sep 23, 2016, 3:41 AM",But still I see the tenour of Man's woe 
12755,Other,"Sep 23, 2016, 3:41 AM","O glorious trial of exceeding love, "
12756,Other,"Sep 23, 2016, 3:40 AM","The sentence, from thy head removed, may light "
12757,Mickey Mouse,"Sep 23, 2016, 3:40 AM",I was at first as other beasts that graze 
12758,Other,"Sep 23, 2016, 3:40 AM",To those apostates; lest the like befall 
12759,Mickey Mouse,"Sep 23, 2016, 3:40 AM","Our envied sovereign, and his altar breathes "
12760,Other,"Sep 23, 2016, 3:39 AM","In time of dearth; a son, whose worthy deeds "
12761,Other,"Sep 23, 2016, 3:39 AM",The good which we enjoy from Heaven descends; 
12762,Mickey Mouse,"Sep 23, 2016, 3:39 AM","Each other, blamed enough elsewhere; but strive "
12763,Mickey Mouse,"Sep 23, 2016, 3:39 AM","Adam, well may we labour still to dress "
12764,Other,"Sep 23, 2016, 3:38 AM",Their wandering gods disguised in brutish forms 
12765,Other,"Sep 23, 2016, 3:38 AM","To lure her eye; she, busied, heard the sound "
12766,Other,"Sep 23, 2016, 3:38 AM","Or in thick shade retired, from him to draw "
12767,Other,"Sep 23, 2016, 3:38 AM",Thenceforth shall be for ever shut.  Mean while 
12768,Mickey Mouse,"Sep 23, 2016, 3:37 AM","Then shall thy Saints unmixed, and from the impure "
12769,Other,"Sep 23, 2016, 3:37 AM","Thus foiled their mightiest; ours joy filled, and shout, "
12770,Mickey Mouse,"Sep 23, 2016, 3:37 AM","Opening their various colours, and made gay "
12771,Other,"Sep 23, 2016, 3:37 AM","Laurel and myrtle, and what higher grew "
12772,Mickey Mouse,"Sep 23, 2016, 3:27 AM","Atlantick Sisters, and the Spartan Twins, "
12773,Mickey Mouse,"Sep 23, 2016, 3:27 AM","In arms not worse, in foresight much advanced, "
12774,Mickey Mouse,"Sep 23, 2016, 3:27 AM","Oppressed them, wearied with their amorous play, "
12775,Mickey Mouse,"Sep 23, 2016, 3:27 AM",Know ye not me? ye knew me once no mate 
12776,Mickey Mouse,"Sep 23, 2016, 3:27 AM","Is to stay here; without thee here to stay, "
12777,Other,"Sep 23, 2016, 3:26 AM","Hell-bounds, high reaching to the horrid roof, "
12778,William Shakespeare,"Sep 23, 2016, 3:26 AM","Glories: for never, since created Man, "
12779,Mickey Mouse,"Sep 23, 2016, 2:57 AM","Their city, his temple, and his holy ark, "
12780,William Shakespeare,"Sep 23, 2016, 2:48 AM",Or is it envy? and can envy dwell 
12781,William Shakespeare,"Sep 23, 2016, 2:48 AM",Himself and his rash army; where thin air 
12782,William Shakespeare,"Sep 23, 2016, 2:48 AM","The one seemed woman to the waist, and fair, "
12783,William Shakespeare,"Sep 23, 2016, 2:47 AM","Or, in their pearly shells at ease, attend "
12784,William Shakespeare,"Sep 23, 2016, 2:47 AM",Fruits in her softened soil for some to eat 
12785,Other,"Sep 23, 2016, 2:29 AM","I form'd them free: and free they must remain, "
12786,Mickey Mouse,"Sep 23, 2016, 2:29 AM",Forbidden them to taste:  Knowledge forbidden 
12787,William Shakespeare,"Sep 23, 2016, 2:29 AM","Honour, dominion, glory, and renown; "
12788,Mickey Mouse,"Sep 23, 2016, 2:29 AM","Like honour to obtain, and as his eye "
12789,William Shakespeare,"Sep 23, 2016, 2:29 AM",So spake the Prince of Angels; to whom thus 
12790,Mickey Mouse,"Sep 23, 2016, 2:28 AM",No ingrateful food:  And food alike those pure 
12791,Mickey Mouse,"Sep 23, 2016, 2:28 AM","Not that more glorious, when the Angels met "
12792,Other,"Sep 23, 2016, 2:28 AM","To reign is worth ambition, though in Hell: "
12793,Mickey Mouse,"Sep 23, 2016, 2:28 AM","Main promontories flung, which in the air "
12794,William Shakespeare,"Sep 23, 2016, 2:28 AM","To be returned by noon amid the bower, "
12795,William Shakespeare,"Sep 23, 2016, 2:28 AM","They to their grassy couch, these to their nests "
12796,William Shakespeare,"Sep 23, 2016, 2:28 AM","To knowledge; by the threatener? look on me, "
12797,Other,"Sep 23, 2016, 2:27 AM","Jehovah thundering out of Sion, throned "
12798,Mickey Mouse,"Sep 23, 2016, 2:10 AM","Justly hast in derision, and, secure, "
12799,Mickey Mouse,"Sep 23, 2016, 2:10 AM","In Paradise to Adam or his race, "
12800,Other,"Sep 23, 2016, 2:10 AM",Near that bituminous lake where Sodom flamed; 
12801,Other,"Sep 23, 2016, 2:10 AM","Celestial voices to the midnight air, "
12802,Other,"Sep 23, 2016, 2:09 AM","So said, he, o'er his scepter bowing, rose "
12803,Other,"Sep 23, 2016, 2:09 AM","Though, in comparison of Heaven, so small, "
12804,Mickey Mouse,"Sep 23, 2016, 2:04 AM","  Th' infernal Serpent; he it was whose guile, "
12805,Mickey Mouse,"Sep 23, 2016, 2:04 AM","The addition of his empire, how it showed "
12806,Other,"Sep 23, 2016, 1:51 AM","Full happiness with me, or rather not, "
12807,Other,"Sep 22, 2016, 10:38 PM",No light; but rather darkness visible 
12808,Donald Duck,"Sep 22, 2016, 10:19 PM","Light out of darkness!  Full of doubt I stand, "
12809,Mickey Mouse,"Sep 22, 2016, 10:01 PM","Address, and to begirt the almighty throne "
12810,Donald Duck,"Sep 22, 2016, 9:11 PM","Of those bright confines, whence, with neighbouring arms, "
12811,Other,"Sep 22, 2016, 7:50 PM","Though, in comparison of Heaven, so small, "
12812,Other,"Sep 22, 2016, 7:49 PM","(Such night till this I never passed) have dreamed, "
12813,Other,"Sep 22, 2016, 7:49 PM","Subdues us, and omnipotent decree, "
12814,Other,"Sep 22, 2016, 7:35 PM",Ill fenced for Heaven to keep out such a foe 
12815,Other,"Sep 22, 2016, 7:26 PM","The angelick name, and thinner left the throng "
12816,Other,"Sep 22, 2016, 7:16 PM",Deserve the precious bane. And here let those 
12817,Other,"Sep 22, 2016, 7:13 PM","On golden hinges moving, to let forth "
12818,Other,"Sep 22, 2016, 7:12 PM",And guard all passage to the tree of life: 
12819,Other,"Sep 22, 2016, 7:12 PM",Where pain of unextinguishable fire 
12820,Other,"Sep 22, 2016, 7:12 PM",Justice shall not return as bounty scorned. 
12821,Mickey Mouse,"Sep 22, 2016, 7:05 PM",In the beginning how the heavens and earth 
12822,Mickey Mouse,"Sep 22, 2016, 7:05 PM","As joined in injuries, one enmity "
12823,Other,"Sep 22, 2016, 6:59 PM","Then voluble and bold, now hid, now seen, "
12824,Mickey Mouse,"Sep 22, 2016, 6:58 PM","Then feed on thoughts, that voluntary move "
12825,Mickey Mouse,"Sep 22, 2016, 6:58 PM","Before the Heavens thou wert, and at the voice "
12826,Other,"Sep 22, 2016, 6:56 PM","For wonderful indeed are all his works, "
12827,Other,"Sep 22, 2016, 6:56 PM",Thick clouds and dark doth Heaven's all-ruling Sire 
12828,Other,"Sep 22, 2016, 6:55 PM",Distinct alike with multitude of eyes; 
12829,Mickey Mouse,"Sep 22, 2016, 6:54 PM","Here in perpetual agony and pain, "
12830,Other,"Sep 22, 2016, 6:00 AM","Us his prime creatures, dignified so high, "
12831,Other,"Sep 22, 2016, 5:58 AM",Behind him cast. The broad circumference 
12832,Other,"Sep 22, 2016, 5:58 AM","Shall change their course to pleasure, ease, and sloth, "
12833,Other,"Sep 22, 2016, 5:58 AM","Convulsions, epilepsies, fierce catarrhs, "
12834,Other,"Sep 22, 2016, 5:58 AM","What order, so contrived as not to mix "
12835,Other,"Sep 22, 2016, 5:57 AM","That from his lordly eye keep distance due, "
12836,Other,"Sep 22, 2016, 5:57 AM","With head, hands, wings, or feet, pursues his way, "
12837,Other,"Sep 22, 2016, 5:57 AM",For loss of life and pleasure overloved. 
12838,Other,"Sep 22, 2016, 5:57 AM","Beholding shall confess, that here on Earth "
12839,William Shakespeare,"Sep 22, 2016, 5:57 AM","So spake the Universal Lord, and seemed "
12840,Other,"Sep 22, 2016, 5:57 AM","Impressed the effulgence of his glory abides, "
12841,Other,"Sep 22, 2016, 5:57 AM","Homeward returning.  High in front advanced, "
12842,William Shakespeare,"Sep 22, 2016, 5:57 AM","That dar'st, though grim and terrible, advance "
12843,Other,"Sep 22, 2016, 5:57 AM","My droused sense, untroubled, though I thought "
12844,Other,"Sep 22, 2016, 5:57 AM",Th' Almighty Victor to spend all his rage; 
12845,Other,"Sep 22, 2016, 5:57 AM","Of great Seleucia, built by Grecian kings, "
12846,William Shakespeare,"Sep 22, 2016, 5:57 AM","Adventurous work, yet to thy power and mine "
12847,Other,"Sep 22, 2016, 5:57 AM","His place, to offer incense, myrrh, and gold: "
12848,Other,"Sep 22, 2016, 5:57 AM",Of Doric land; or who with Saturn old 
12849,Other,"Sep 22, 2016, 5:56 AM","Thus while he spake, each passion dimmed his face "
12850,William Shakespeare,"Sep 22, 2016, 5:56 AM","Consulting on the sum of things, foreseen "
12851,Other,"Sep 22, 2016, 5:56 AM",For never but once more was wither like 
12852,Other,"Sep 22, 2016, 5:56 AM","Too much to one! but double how endured, "
12853,William Shakespeare,"Sep 22, 2016, 5:56 AM","His beams, unactive else, their vigour find. "
12854,Other,"Sep 22, 2016, 5:56 AM","With first approach of light, we must be risen, "
12855,William Shakespeare,"Sep 22, 2016, 5:55 AM","True opener of mine eyes, prime Angel blest; "
12856,Other,"Sep 22, 2016, 5:54 AM","Search through this garden, leave unsearched no nook; "
12857,William Shakespeare,"Sep 22, 2016, 5:54 AM",Concocted and adusted they reduced 
12858,William Shakespeare,"Sep 22, 2016, 5:54 AM","Our enemy, our own loss how repair, "
12859,Other,"Sep 22, 2016, 5:54 AM","Universal reproach, far worse to bear "
12860,Other,"Sep 22, 2016, 5:54 AM",So wise he judges it to fly from pain 
12861,William Shakespeare,"Sep 22, 2016, 5:54 AM","Such hast thou armed, the minstrelsy of Heaven, "
12862,William Shakespeare,"Sep 22, 2016, 5:54 AM","Part curb their fiery steeds, or shun the goal "
12863,Other,"Sep 22, 2016, 5:53 AM","Thence more at ease their minds, and somewhat raised "
12864,William Shakespeare,"Sep 22, 2016, 5:52 AM","The inclement seasons, rain, ice, hail, and snow! "
12865,Other,"Sep 22, 2016, 5:52 AM","Met, who to meet him came, his offspring dear. "
12866,Other,"Sep 22, 2016, 5:52 AM",Or how the sun shall in mid Heaven stand still 
12867,William Shakespeare,"Sep 22, 2016, 5:52 AM",Yet not enough had practised to deceive 
12868,Other,"Sep 22, 2016, 5:51 AM","Satan, with vast and haughty strides advanced, "
12869,William Shakespeare,"Sep 22, 2016, 5:50 AM","Will prove no sudden, but a slow-paced evil; "
12870,William Shakespeare,"Sep 22, 2016, 5:50 AM",His only son; on earth he first beheld 
12871,William Shakespeare,"Sep 22, 2016, 5:50 AM","The heavens and all the constellations rung, "
12872,Other,"Sep 22, 2016, 5:50 AM",And o'er the Celtic roamed the utmost Isles. 
12873,William Shakespeare,"Sep 22, 2016, 5:50 AM","Spirits odorous breathes: flowers and their fruit, "
12874,Other,"Sep 22, 2016, 5:50 AM",And sleep secure; his dreadful voice no more 
12875,William Shakespeare,"Sep 22, 2016, 5:50 AM",Amidst the glorious brightness where thou sit'st 
12876,William Shakespeare,"Sep 22, 2016, 5:49 AM","Captivity led captive through the air, "
12877,Other,"Sep 22, 2016, 5:18 AM","My other self, the partner of my life; "
12878,William Shakespeare,"Sep 22, 2016, 4:58 AM","Of various influence foment and warm, "
12879,Other,"Sep 22, 2016, 4:56 AM",And send him from the garden forth to till 
12880,Other,"Sep 22, 2016, 4:51 AM","Best with the best, the sender, not the sent, "
12881,William Shakespeare,"Sep 22, 2016, 4:50 AM",Moist nutriment; or under rocks their food 
12882,William Shakespeare,"Sep 22, 2016, 4:50 AM",But all these in their pregnant causes mixed 
12883,William Shakespeare,"Sep 22, 2016, 4:50 AM",By this new-felt attraction and instinct. 
12884,William Shakespeare,"Sep 22, 2016, 4:50 AM","These things, as not to mind from whence they grow "
12885,Mickey Mouse,"Sep 22, 2016, 3:48 AM","To Beersaba, where the Holy Land "
12886,Other,"Sep 22, 2016, 3:45 AM",Long under darkness cover. But these thoughts 
12887,Other,"Sep 22, 2016, 3:44 AM","With shows instead, mere shows of seeming pure, "
12888,Other,"Sep 22, 2016, 3:44 AM","In thunder, lightning, and loud trumpets' sound, "
12889,Mickey Mouse,"Sep 22, 2016, 3:41 AM","Obscured, where highest woods, impenetrable "
12890,Other,"Sep 22, 2016, 3:33 AM","Your dungeon, stretching far and wide beneath; "
12891,William Shakespeare,"Sep 21, 2016, 11:17 PM","Others came single; he, who, to be deemed "
12892,William Shakespeare,"Sep 21, 2016, 11:17 PM","Unpractised, unprepared, and still to seek. "
12893,William Shakespeare,"Sep 21, 2016, 11:16 PM","Wrath without end on Man, whom death must end? "
12894,William Shakespeare,"Sep 21, 2016, 11:16 PM","Shall separate us, linked in love so dear, "
12895,Other,"Sep 21, 2016, 10:57 PM",And with fierce ensigns pierced the deep array 
12896,Other,"Sep 21, 2016, 5:39 AM","And givest access, though secret she retire. "
12897,Other,"Sep 21, 2016, 5:39 AM","Long time shall dwell and prosper, but when sins "
12898,Other,"Sep 21, 2016, 5:38 AM","At Pandemonium, the high capital "
12899,Other,"Sep 21, 2016, 5:37 AM","Forced hallelujahs, while he lordly sits "
12900,Other,"Sep 21, 2016, 5:37 AM","Revolved on Heaven's great axle, and her reign "
12901,Other,"Sep 21, 2016, 5:37 AM","With centrick and eccentrick scribbled o'er, "
12902,Mickey Mouse,"Sep 21, 2016, 5:36 AM","Easy, ere God had bid the ground be dry, "
12903,Other,"Sep 21, 2016, 5:32 AM","With secret amity, things of like kind, "
12904,Mickey Mouse,"Sep 21, 2016, 5:31 AM","If chance the radiant sun, with farewell sweet, "
12905,Mickey Mouse,"Sep 21, 2016, 5:31 AM","He never shall find out fit mate, but such "
12906,Other,"Sep 21, 2016, 5:27 AM",His only son; on earth he first beheld 
12907,Other,"Sep 21, 2016, 5:27 AM",The guarded gold; so eagerly the Fiend 
12908,William Shakespeare,"Sep 21, 2016, 3:35 AM","Purge and disperse, that I may see and tell "
12909,William Shakespeare,"Sep 21, 2016, 3:35 AM",And limited their might; though numbered such 
12910,William Shakespeare,"Sep 21, 2016, 3:35 AM",All courage; down their idle weapons dropt: 
12911,William Shakespeare,"Sep 21, 2016, 3:35 AM","Of Cambalu, seat of Cathaian Can, "
12912,William Shakespeare,"Sep 21, 2016, 3:35 AM","Appeared, and serried shields in thick array "
12913,William Shakespeare,"Sep 21, 2016, 3:34 AM","End, and dismiss thee ere the morning shine. "
12914,Other,"Sep 21, 2016, 1:36 AM","Sole Eve, associate sole, to me beyond "
12915,Mickey Mouse,"Sep 21, 2016, 1:27 AM","Those were of hate and death, or pain much worse; "
12916,Other,"Sep 21, 2016, 12:47 AM","Of knowledge, what this vessel can contain; "
12917,Mickey Mouse,"Sep 21, 2016, 12:46 AM","Disperse it, as now light dispels the dark! "
12918,Other,"Sep 21, 2016, 12:43 AM","Our state cannot be severed; we are one, "
12919,Mickey Mouse,"Sep 21, 2016, 12:40 AM","Author and End of all things; and, from work "
12920,William Shakespeare,"Sep 21, 2016, 12:40 AM","Gave elocution to the mute, and taught "
12921,Mickey Mouse,"Sep 21, 2016, 12:40 AM","With Heaven's ray, and tempered, they shoot forth "
12922,Mickey Mouse,"Sep 21, 2016, 12:40 AM","And upstart passions, catch the government "
12923,Mickey Mouse,"Sep 21, 2016, 12:40 AM",'Eat freely with glad heart; fear here no dearth: 
12924,William Shakespeare,"Sep 21, 2016, 12:39 AM",Far heavier load thyself expect to feel 
12925,Mickey Mouse,"Sep 21, 2016, 12:39 AM","It sounded, and the faithful armies rung "
12926,William Shakespeare,"Sep 21, 2016, 12:39 AM","Of mine to thee, ingrateful Eve! expressed "
12927,William Shakespeare,"Sep 20, 2016, 10:49 PM","Bowed down in battle, sunk before the spear "
12928,Mickey Mouse,"Sep 20, 2016, 10:49 PM","Immense I have transfused, that all may know "
12929,William Shakespeare,"Sep 20, 2016, 10:49 PM","Among the angelick Powers, and the deep fall "
12930,Mickey Mouse,"Sep 20, 2016, 10:48 PM","Disdain forbids me, and my dread of shame "
12931,William Shakespeare,"Sep 20, 2016, 10:48 PM",Allured them; thence from cups to civil broils. 
12932,Mickey Mouse,"Sep 20, 2016, 10:48 PM","Sown with contrition in his heart, than those "
12933,William Shakespeare,"Sep 20, 2016, 10:48 PM","Two days, as we compute the days of Heaven, "
12934,William Shakespeare,"Sep 20, 2016, 10:48 PM","If not the first Arch-Angel, great in power, "
12935,William Shakespeare,"Sep 20, 2016, 10:48 PM","Suspended Hell, and took with ravishment "
12936,Donald Duck,"Sep 20, 2016, 10:48 PM","The swelling gourd, up stood the corny reed "
12937,Other,"Sep 20, 2016, 10:15 PM","Fearless assault; and, to the brow of Heaven "
12938,Other,"Sep 20, 2016, 10:15 PM","The Apocalypse, heard cry in Heaven aloud, "
12939,Other,"Sep 20, 2016, 10:15 PM","Reign thou in Hell, thy kingdom; let me serve "
12940,William Shakespeare,"Sep 20, 2016, 10:15 PM",And wrought but malice; lifted up so high 
12941,William Shakespeare,"Sep 20, 2016, 10:15 PM","Which else to several spheres thou must ascribe, "
12942,Other,"Sep 20, 2016, 10:15 PM","His flight precipitant, and winds with ease "
12943,William Shakespeare,"Sep 20, 2016, 10:15 PM","To reach, and feed at once both body and mind? "
12944,Other,"Sep 20, 2016, 10:15 PM","Creatures that lived and moved, and walked, or flew; "
12945,William Shakespeare,"Sep 20, 2016, 10:15 PM","Hear my decree, which unrevoked shall stand. "
12946,William Shakespeare,"Sep 20, 2016, 10:15 PM","How from that sapphire fount the crisped brooks, "
12947,Other,"Sep 20, 2016, 10:15 PM","Than what this garden is to all the earth, "
12948,William Shakespeare,"Sep 20, 2016, 10:15 PM","Gladly the port, though shrouds and tackle torn; "
12949,Other,"Sep 20, 2016, 10:15 PM","Of iron globes; which, on the victor host "
12950,Other,"Sep 20, 2016, 10:14 PM",Over the sea; the sea his rod obeys; 
12951,William Shakespeare,"Sep 20, 2016, 10:14 PM","And look for adoration, to the abuse "
12952,William Shakespeare,"Sep 20, 2016, 10:14 PM","Their inward state of mind, calm region once "
12953,William Shakespeare,"Sep 20, 2016, 10:14 PM","Over the dark Abyss, whose boiling gulf "
12954,William Shakespeare,"Sep 20, 2016, 10:14 PM","Charmed with Arcadian pipe, the pastoral reed "
12955,William Shakespeare,"Sep 20, 2016, 10:14 PM","Perhaps hath spent his shafts, and ceases now "
12956,Donald Duck,"Sep 20, 2016, 8:59 PM","The riches of heaven's pavement, trodden gold, "
12957,Other,"Sep 20, 2016, 8:56 PM","By the waters of life, where'er they sat "
12958,Mickey Mouse,"Sep 20, 2016, 8:55 PM","Provokes my envy, this new favourite "
12959,Other,"Sep 20, 2016, 8:55 PM","One greater, of whose day he shall foretel, "
12960,Donald Duck,"Sep 20, 2016, 8:55 PM",Altered her cheek.  On whom the Angel Hail 
12961,Mickey Mouse,"Sep 20, 2016, 8:55 PM","There wanted yet the master-work, the end "
12962,Donald Duck,"Sep 20, 2016, 8:55 PM","Both in one faith unanimous, though sad, "
12963,Other,"Sep 20, 2016, 8:54 PM",Enough is left besides to search and know. 
12964,Mickey Mouse,"Sep 20, 2016, 8:54 PM","At their great Emperor's call, as next in worth "
12965,Donald Duck,"Sep 20, 2016, 8:41 PM","Homeward, with flying march, where we possess "
12966,William Shakespeare,"Sep 20, 2016, 8:16 PM","With carcasses and arms the ensanguined field, "
12967,Other,"Sep 20, 2016, 8:08 PM","Soon recollecting, with high words, that bore "
12968,Mickey Mouse,"Sep 20, 2016, 8:08 PM",His dark materials to create more worlds-- 
12969,William Shakespeare,"Sep 20, 2016, 7:57 PM","On flowers reposed, and with fresh flowerets crowned, "
12970,Other,"Sep 20, 2016, 7:17 PM","To know ye right, or if ye know yourselves "
12971,William Shakespeare,"Sep 20, 2016, 7:11 PM","But pain is perfect misery, the worst "
12972,William Shakespeare,"Sep 20, 2016, 7:10 PM","Potable gold, when with one virtuous touch "
12973,Other,"Sep 20, 2016, 7:07 PM","Unseen, both when we wake, and when we sleep: "
12974,Other,"Sep 20, 2016, 4:02 PM",Extort from me. To bow and sue for grace 
12975,Other,"Sep 20, 2016, 10:21 AM",But wherefore all night long shine these? for whom 
12976,Other,"Sep 20, 2016, 7:55 AM","This be thy just circumference, O World! "
12977,Other,"Sep 20, 2016, 5:58 AM",But grateful to acknowledge whence his good 
12978,William Shakespeare,"Sep 20, 2016, 5:57 AM","Went up, and watered all the ground, and each "
12979,William Shakespeare,"Sep 20, 2016, 5:57 AM","In temper and in nature, will receive "
12980,William Shakespeare,"Sep 20, 2016, 5:56 AM","Thee what thou art, and formed the Powers of Heaven "
12981,Other,"Sep 20, 2016, 5:37 AM","Thou hast revealed; those chiefly, which concern "
12982,Mickey Mouse,"Sep 20, 2016, 5:36 AM","But, like a proud steed reined, went haughty on, "
12983,Mickey Mouse,"Sep 20, 2016, 5:36 AM","Now less than smallest dwarfs, in narrow room "
12984,Other,"Sep 20, 2016, 5:36 AM","What better can we do, than, to the place "
12985,Other,"Sep 20, 2016, 5:36 AM","And from rebellion shall derive his name, "
12986,Other,"Sep 20, 2016, 5:36 AM",Knowledge of good bought dear by knowing ill. 
12987,Mickey Mouse,"Sep 19, 2016, 6:20 PM","Had work and rested not; the solemn pipe, "
12988,William Shakespeare,"Sep 19, 2016, 6:20 PM","Soon closing, and by native vigour healed. "
12989,Other,"Sep 19, 2016, 6:14 PM",More grateful than harmonious sound to the ear. 
12990,Mickey Mouse,"Sep 19, 2016, 5:59 PM","His entrance, and foreworned the Cherubim "
12991,Other,"Sep 19, 2016, 2:05 PM",And mortal food; as may dispose him best 
12992,Other,"Sep 19, 2016, 11:11 AM","From yonder blazing cloud that veils the hill, "
12993,William Shakespeare,"Sep 19, 2016, 7:10 AM",Lest Paradise a receptacle prove 
12994,Other,"Sep 19, 2016, 7:10 AM","In silence their bright legions, to the sound "
12995,William Shakespeare,"Sep 19, 2016, 7:09 AM","By policy and long process of time, "
12996,Other,"Sep 19, 2016, 6:34 AM","Day, or the sweet approach of even or morn, "
12997,Other,"Sep 19, 2016, 6:34 AM",To add more sweetness; and they thus began. 
12998,Other,"Sep 19, 2016, 6:33 AM","Of happiness and final misery, "
12999,Mickey Mouse,"Sep 19, 2016, 6:31 AM","Attended with ten thousand thousand Saints, "
13000,Other,"Sep 19, 2016, 6:28 AM",Glanced on the ground; with labour I must earn 
13001,Other,"Sep 19, 2016, 5:17 AM","Terror of Heaven, though fallen; intend at home, "
13002,Other,"Sep 19, 2016, 5:16 AM","High over-arched, and echoing walks between: "
13003,Other,"Sep 19, 2016, 5:16 AM","Turn swift their various motions, or are turned "
13004,Other,"Sep 19, 2016, 5:03 AM","The Arch-Angel Uriel, one of the seven "
13005,Other,"Sep 19, 2016, 5:03 AM","Entered, and foul disorder; all the ground "
13006,Other,"Sep 19, 2016, 5:03 AM","Thy rebels, or be found the worst in Heaven. "
13007,Other,"Sep 19, 2016, 5:03 AM","Innumerous living creatures, perfect forms, "
13008,Other,"Sep 19, 2016, 4:10 AM",Both of lost happiness and lasting pain 
13009,Other,"Sep 19, 2016, 4:10 AM","Here Love his golden shafts employs, here lights "
13010,Mickey Mouse,"Sep 18, 2016, 10:53 PM","Of Paradise and Eden's happy plains, "
13011,Mickey Mouse,"Sep 18, 2016, 10:52 PM",For beasts it seems: yet that one beast which first 
13012,William Shakespeare,"Sep 18, 2016, 10:50 PM","(Though like a covered field, where champions bold "
13013,William Shakespeare,"Sep 18, 2016, 10:50 PM",My overshadowing Spirit and Might with thee 
13014,Mickey Mouse,"Sep 18, 2016, 10:44 PM","Struck them with horrour backward, but far worse "
13015,William Shakespeare,"Sep 18, 2016, 10:42 PM","O'er shields, and helms, and helmed heads he rode "
13016,Mickey Mouse,"Sep 18, 2016, 10:41 PM","The Earth was formed, but in the womb as yet "
13017,William Shakespeare,"Sep 18, 2016, 10:41 PM","Sometimes towards Eden, which now in his view "
13018,William Shakespeare,"Sep 18, 2016, 10:41 PM",Were it I thought death menaced would ensue 
13019,Other,"Sep 18, 2016, 7:20 PM","Given me to quell their pride, and in event "
13020,William Shakespeare,"Sep 18, 2016, 7:20 PM","Though heaviest by just measure on thyself, "
13021,Other,"Sep 18, 2016, 7:19 PM","I come no enemy, but to set free "
13022,William Shakespeare,"Sep 18, 2016, 5:21 PM","But call in aid, which makes a bloody fray; "
13023,William Shakespeare,"Sep 18, 2016, 5:21 PM","For Understanding ruled not, and the Will "
13024,William Shakespeare,"Sep 18, 2016, 5:21 PM","To stand approved in sight of God, though worlds "
13025,Other,"Sep 18, 2016, 6:13 AM",Safe to eternal Paradise of rest. 
13026,Mickey Mouse,"Sep 18, 2016, 6:12 AM",Hard liberty before the easy yoke 
13027,Mickey Mouse,"Sep 18, 2016, 6:11 AM","Heaven ruining from Heaven, and would have fled "
13028,Mickey Mouse,"Sep 18, 2016, 6:11 AM","To Man, and indignation at his wrong, "
13029,Mickey Mouse,"Sep 18, 2016, 4:45 AM","Were done, but infinite; for wide was spread "
13030,Mickey Mouse,"Sep 18, 2016, 4:45 AM", 
13031,Other,"Sep 18, 2016, 4:28 AM",Sin against law to fight: that when they see 
13032,Other,"Sep 18, 2016, 4:28 AM","With admiration and deep muse, to hear "
13033,Other,"Sep 18, 2016, 4:27 AM","From Earth arrived at Heaven-gate, displeased "
13034,Mickey Mouse,"Sep 18, 2016, 4:26 AM","Prodigious power had shown, and met in arms "
13035,Other,"Sep 18, 2016, 4:26 AM","Beholding shall confess, that here on Earth "
13036,Mickey Mouse,"Sep 18, 2016, 4:21 AM","To Man, the greater to have rule by day, "
13037,Other,"Sep 18, 2016, 4:20 AM",In various style; for neither various style 
13038,Mickey Mouse,"Sep 18, 2016, 4:16 AM","Than this of Eden, and far happier days. "
13039,Other,"Sep 18, 2016, 4:15 AM","That laugh, as if, transported with some fit "
13040,Mickey Mouse,"Sep 18, 2016, 4:14 AM","Subdues us, and omnipotent decree, "
